resultPosition,trapNumber,raceTime,raceDate,raceId,raceNumber,raceClass,raceDistance,meetingId,trackName,dogId,dogName,dogSire,dogDam,trainerName,ownerName
1,3,20:18:00,27/01/2018,407153,4,A8,480.0,334761,Perry Barr,470396,El Dolce,Droopys Scolari,Global Tally Ho,R Williams,Mr R Williams
1,1,20:17:00,27/01/2018,407371,4,OR,540.0,334742,Crayford,482170,Lush Lady,Aero Majestic,Drumcrow Ellie,R J Holloway,Mr P J Longland
1,6,20:16:00,27/01/2018,407742,7,A1,400.0,334802,Romford,497804,Whizzy Rascal,Laughil Blake,Droopys Posh,P W Young,Whizzy Syndicate
1,3,20:16:00,27/01/2018,407506,4,A4,480.0,334832,Newcastle,490741,Alnwick Lillie,Tullymurry Act,Tangle Tiger,A Harrison,Tynesiders Racing Club
1,2,20:15:00,27/01/2018,407347,6,A3,480.0,334811,Swindon,500512,Classy Bandit,Skywalker Puma,Airforce Biddy,P A Sallis,Mr L Atherton
1,4,20:15:00,27/01/2018,407286,6,A3,470.0,334744,Belle Vue,492897,Grumpo Lauren,Scolari Me Daddy,Coppeen Beauty,N Langley,"Mr M A Cooke,miss N Langley"
1,3,20:15:00,27/01/2018,407178,4,A3,462.0,334794,Yarmouth,494245,Cavandish,Kinloch Brae,Native Gypsy,E G Samuels,"Mr P P Smith,mrs C M Smith"
1,2,20:15:00,27/01/2018,407165,4,A2,450.0,334746,Poole,468297,Stoke Debbie,Moveit Jamie,Cougar Fox,D H Gallimore,Mr D H Gallimore
1,2,20:15:00,27/01/2018,407048,2,HP,480.0,334800,Shawfield,497312,Ollys Uncle,Uncle Eoin,Indian Command,D Beattie,Mr D D Hickie
1,2,20:15:00,27/01/2018,407300,4,D1,250.0,334709,Peterborough,486488,Pukka Bullet,Razldazl Jayfkay,Colorado Lauren,P Ward,Mr F S Rugg
1,1,20:15:00,27/01/2018,407023,3,A6,462.0,334785,Kinsley,469470,Lickadoon Rosie,Kingo,Liosgarbh Sunny,D J Hammond,Mr R J Overton
1,2,20:13:00,27/01/2018,407060,4,A7,500.0,334818,Nottingham,439510,Glenvale Larry,Fortfield Sand,Gizmo Lotus,A Thompson,Mr R Thompson
1,1,20:11:00,27/01/2018,407141,3,A6,480.0,334774,Towcester,502036,Ravenswood Flo,Laughil Blake,Ravenswood May,K R Hutton,Mr S G Harvey
1,4,20:11:00,27/01/2018,407131,7,S2,630.0,334783,Monmore,452085,Galboola Delight,Timor Blue,Galboola Cathy,M T Baker,Mr L Brooks
